Journey,Step,Story,Priority,Status
Collaboration,Copy Link,As a user I want to copy share link so that I can share via other channels,Should Have,Implemented
Whiteboard,View Whiteboard,As a user I want to view the whiteboard canvas so that I can see visual content,Should Have,Implemented
Whiteboard,Draw on Whiteboard,As a user I want to draw on the canvas so that I can create diagrams,Should Have,Implemented
Whiteboard,Add Shapes,As a user I want to add shapes so that I can create structured visuals,Should Have,Implemented
Whiteboard,Add Text,As a user I want to add text elements so that I can label diagrams,Should Have,Implemented
Whiteboard,Link to Node,As a user I want to link elements to nodes so that I can connect visual and text content,Could Have,Implemented
Whiteboard,Sync Hierarchy,As a user I want whiteboard to sync with node hierarchy so that visuals stay current,Could Have,Partial
Whiteboard,Save Whiteboard,As a user I want whiteboard to auto-save so that I don't lose my work,Should Have,Implemented
Context Menu,Open New Tab,As a user I want to open items in new tab via context menu so that I can multitask,Should Have,Implemented
Context Menu,Rename,As a user I want to rename via context menu so that I can quickly update names,Should Have,Implemented
Context Menu,Duplicate,As a user I want to duplicate via context menu so that I can copy items,Could Have,Partial
Context Menu,Delete,As a user I want to delete via context menu so that I can quickly remove items,Must Have,Implemented
Context Menu,Share,As a user I want to share via context menu so that I can quickly share items,Should Have,Implemented
Help & Support,View Shortcuts,As a user I want to view keyboard shortcuts so that I can work efficiently,Should Have,Implemented
Help & Support,Send Feedback,As a user I want to send feedback so that I can report issues,Should Have,Implemented
Help & Support,Help Center,As a user I want to access help center so that I can learn how to use the app,Could Have,Partial
User Profile,View Profile,As a user I want to view my profile so that I can see my account info,Should Have,Partial
User Profile,Logout,As a user I want to logout from profile menu so that I can sign out,Must Have,Implemented
Node Management,Delete with Dependencies,As a user I want to see a warning when deleting nodes with children so that I can avoid accidental data loss,Must Have,Planned
Node Management,Delete Cascade,As a user I want to delete a node and all its children so that I can clean up entire branches,Must Have,Planned
Node Management,Delete Orphan,As a user I want to delete a node and keep its children so that I can restructure without losing content,Should Have,Planned
Node Management,Duplicate Detection,As a user I want to be warned about duplicate node names so that I can avoid confusion,Must Have,Planned
Node Management,Duplicate Merge,As a user I want to merge duplicate nodes so that I can consolidate content,Should Have,Planned
Context Management,Super Position,As a user I want to add a node to multiple contexts so that I can organize content flexibly,Should Have,Planned
Context Management,Context Badge,As a user I want to see which contexts a node belongs to so that I understand its relationships,Should Have,Planned
Context Management,Remove from Context,As a user I want to remove a node from a context without deleting it so that I can reorganize,Should Have,Planned
Relationship Management,Relationship Types,As a user I want to choose relationship types when connecting nodes so that I can express different meanings,Should Have,Planned
Relationship Management,Type Colors,As a user I want to see different colors for relationship types in graph view so that I can distinguish them,Could Have,Planned
Application Modes,Mode Selector,As a user I want to switch between view modes so that I can focus on different tasks,Must Have,Planned
Application Modes,Scoped View,As a user I want to filter to current context so that I can focus on relevant content,Must Have,Planned
Application Modes,Edit Mode Toggle,As a user I want to toggle edit controls so that I can avoid accidental changes,Should Have,Planned
Templates,Mark as Template,As a user I want to mark a context as a template so that I can reuse its structure,Should Have,Planned
Templates,Template List,As a user I want to see available templates so that I can apply them to new contexts,Should Have,Planned
Templates,Apply Template,As a user I want to apply a template to create a new context so that I can start with predefined structure,Should Have,Planned
Developer Platform,API Key Create,As a developer I want to create API keys so that I can access the API programmatically,Should Have,Planned
Developer Platform,API Key Manage,As a developer I want to manage my API keys so that I can control access,Should Have,Planned
Developer Platform,SDK Usage,As a developer I want a TypeScript SDK so that I can build apps on Mujarrad easily,Should Have,Planned
Agent Integration,MCP Resources,As an AI agent I want to list and read nodes via MCP so that I can access Mujarrad content,Should Have,Planned
Agent Integration,MCP Tools,As an AI agent I want to create and update nodes via MCP so that I can manage Mujarrad content,Should Have,Planned
Whiteboard,Sync on Rename,As a user I want whiteboard elements to update when I rename linked nodes so that visuals stay current,Should Have,Planned
Whiteboard,Create Node from Element,As a user I want to create a node from a whiteboard element so that I can connect visual and text content,Could Have,Planned
