Journey,Step,Story,Acceptance Criteria,Epic,Priority,Story Points,MoSCoW,Reach,Impact,Confidence,Effort,RICE Score,Business Value
Attribute Management Journey,Create Attributes,As a professional user I can create various types of attributes so that I can grow the structure and depth of information,"- Define attribute with title and properties
- Associate with multiple nodes
- Set display type (label, button, tag, block, data_element)
- Configure existence information per context
- POST /api/v1/attributes persists object
- Existence info validated",Epic 4: Attributes & Existence Information,P0,4,Must Have,900,3,100%,2,1350.00,9
Attribute Management Journey,Attribute Attribution,As a user I can create attributes for the attribute including a structure so that I can grow the depth and make it more fruitful,"- Define existed_node (attribute refers to)
- Define existence_node (container)
- Set existence_type (origin, clone, prefab, temporary)
- Set relation_type (has_a, depends_on, part_of, etc.)
- Link to specific context
- Existence information tracked per context",Epic 4: Attributes & Existence Information,P0,4,Must Have,700,2,80%,2,560.00,8
Attribute Management Journey,Attribute Suggestions,As a user the system suggests relevant attributes based on keywords so that I can quickly enrich my information,"- System suggests attributes based on keywords
- Shared context = suggest common attributes
- Confidence scoring
- Accept/reject suggestions
- GET /api/v1/attributes/suggest returns ranked list
- Suggestions return within 500ms
- Learn from user choices",Epic 4: Attributes & Existence Information,P0,3,Must Have,800,2,80%,1.5,853.33,8
Attribute Management Journey,Bulk Attribute Application,As a user I can apply attribute to up to 100 nodes with propagation so that I can efficiently structure large information sets,"- Apply attribute to tree of nodes
- Propagate family/system relations
- Preview changes before applying
- Apply to up to 100 nodes at once
- Endpoint returns applied_count + per-node status
- Bulk operations show preview before commit
- Complete in <5 seconds",Epic 4: Attributes & Existence Information,P2,5,Could Have,500,1,80%,2.5,160.00,5
Attribute Management Journey,Attribute Display Modes,As a user I see attributes rendered differently based on display type so that I can choose the best visualization for each attribute,"- Label form: Simple text tag
- Button form: Clickable interaction
- Block form: Full node rendering
- Data element form: Structured data (Jira-style)
- VizView renderer respects display_type
- Consistent rendering across views",Epic 4: Attributes & Existence Information,P0,3,Must Have,850,2,100%,1.5,1133.33,8
Attribute Management Journey,Activity Tracking Attribution,As a stakeholder I want my activities across all integrated apps to get automatically attributed so that I can make better use of data,"- Activity logs automatically create attributes
- Track actions across integrated apps
- Track internal Scratchup activities
- Attribute suggestions based on patterns
- Activity attribution runs in background",Epic 4: Attributes & Existence Information,P1,3,Should Have,600,1,80%,1.5,320.00,6
Context Organization Journey,Manual Context Creation,As a user I can manually create named contexts so that I can organize information into meaningful groups,"- Manually create named context
- Define context description/purpose
- Set context visibility/permissions
- Nest contexts (optional hierarchy)
- Contexts created with title, description, owner",Epic 5: Contexts & Emergent Architecture,P0,3,Must Have,1000,3,100%,1.5,2000.00,10
Context Organization Journey,Context Suggestion & Auto-Creation,As a user the system suggests context when wiring multiple nodes so that contexts emerge naturally from my work patterns,"- System suggests context when wiring multiple nodes
- ML-based context matching
- Confidence scoring with >70% accuracy
- Auto-create context if wiring threshold met
- Suggest merging similar contexts
- Suggestions appear when 3+ nodes wired together",Epic 5: Contexts & Emergent Architecture,P1,3,Should Have,700,2,80%,1.5,746.67,7
Context Organization Journey,Multi-Context Node Membership,As a user nodes can exist in multiple contexts simultaneously so that information can be viewed from multiple perspectives,"- Node exists in multiple contexts simultaneously (""super position"")
- Primary context for default display
- Node can belong to 1 primary + N secondary contexts
- View all contexts node appears in
- Context family preview
- GET /api/v1/nodes/:id/backlinks returns context list",Epic 5: Contexts & Emergent Architecture,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Context Organization Journey,Context Tree Setup,As a user I can organize contexts hierarchically in Setup Mode so that I can create structured information architectures,"- Setup Mode for context structure editing
- Drag-drop context reorganization
- Context inheritance rules
- Context-level permissions
- Context tree supports up to 10 levels deep
- Visual tree representation",Epic 5: Contexts & Emergent Architecture,P0,3,Must Have,800,2,100%,1.5,1066.67,9
Context Organization Journey,Context Contextual Context,As a stakeholder I need to create context and describe this context in new nodes so that we can start creating the questions net above it,"- Create context with descriptive nodes
- Nodes define context structure (steps/processes)
- Support QA sessions for initial iteration
- Context metadata stored as nodes
- Link descriptive nodes to context",Epic 5: Contexts & Emergent Architecture,P0,3,Must Have,700,2,100%,1.5,933.33,8
Context Organization Journey,Missing Context Suggestion,As a user the system reminds me of missing information within contexts so that I can ensure completeness,"- Detect missing context information
- Suggest context relations
- Approve/disapprove suggestions
- Missing information indicators
- Context completeness scoring",Epic 5: Contexts & Emergent Architecture,P1,3,Should Have,600,1,80%,1.5,320.00,6
Context Organization Journey,Context-Verse Preview,As a user I can see all related data to a context from internal/external channels in one place so that I have unified context view,"- Aggregate internal data
- Aggregate external channel data
- Unified view of all context-related information
- Real-time data synchronization
- Context-Verse loads within 2 seconds",Epic 5: Contexts & Emergent Architecture,P1,3,Should Have,500,2,80%,1.5,533.33,6
Visualization Journey,Create VizViews,As a user I can create a VizView for a context or node cluster so that I can visualize information in meaningful ways,"- Define VizView for context or node cluster
- Name and describe purpose
- Select root context or node
- Configure initial layout settings
- VizView persists with layout and filters",Epic 6: VizViews & Visualization Modes,P0,5,Must Have,1000,3,100%,2.5,1200.00,10
Visualization Journey,VizView Layout Management,As a user I can save current layout and load saved layouts so that I can preserve useful visualizations,"- Save current layout (positions, zoom, filters)
- Load saved layout within 2 seconds for 2k nodes
- Version layouts (history)
- Share layouts with team
- Export layout configuration
- POST /api/v1/vizviews returns id
- GET /api/v1/vizviews/:id returns stored config",Epic 6: VizViews & Visualization Modes,P0,3,Must Have,900,2,100%,1.5,1200.00,9
Visualization Journey,Graph Mode Visualization,As a user I can view an interactive node-edge graph so that I can understand network relationships,"- Interactive node-edge graph visualization
- Pan and zoom (smooth 60 FPS)
- Select/multi-select nodes
- Handle 2k+ nodes, 4k+ edges at >20 FPS
- X-Dimension world representation
- Contexts contain each other visually
- Node superposition displayed",Epic 6: VizViews & Visualization Modes,P0,5,Must Have,1000,3,100%,2.5,1200.00,10
Visualization Journey,Tree Mode Visualization,As a user I can view hierarchical tree structure so that I can understand parent-child relationships,"- Hierarchical tree view
- Expandable/collapsible branches
- Navigate tree structure
- Zoom and pan tree view
- Export tree structure",Epic 6: VizViews & Visualization Modes,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Visualization Journey,Interactive VizView Features,As a user I can interact with VizViews through pan zoom select and filter so that I can explore information effectively,"- Pan and zoom (smooth 60 FPS)
- Select/multi-select nodes
- Filter by node type, attributes, date
- Search within view
- Highlight paths between nodes
- Node inspector panel (side drawer)
- API provides attributes, backlinks, versions within 200ms",Epic 6: VizViews & Visualization Modes,P0,4,Must Have,1000,3,100%,2,1500.00,10
Visualization Journey,VizView Performance Handling,As a system I can render large graphs performantly so that users can work with complex information without lag,"- Progressive loading for large graphs
- Handle 2k+ nodes, 4k+ edges
- Maintain >20 FPS during interaction
- Virtual rendering for off-screen nodes
- Level-of-detail (LOD) rendering
- Performance targets met on standard hardware",Epic 6: VizViews & Visualization Modes,P0,5,Must Have,1000,3,80%,2.5,960.00,9
Visualization Journey,Export VizView,As a user I can export current VizView to PDF or PNG so that I can share visualizations externally,"- POST /api/v1/vizviews/:id/export?format=pdf returns file
- Export to PNG/PDF/SVG
- Maintain visual quality
- Include metadata in export
- Export completes in <5 seconds",Epic 6: VizViews & Visualization Modes,P2,3,Could Have,400,0.5,80%,1.5,106.67,5
Visualization Journey,Timeline Mode,As a user I can view chronological layout of information so that I can understand temporal relationships,"- Chronological node arrangement
- Timeline-based navigation
- Date range filtering
- Event markers on timeline
- Time-based clustering",Epic 6: VizViews & Visualization Modes,P2,4,Could Have,500,1,80%,2,200.00,5
Visualization Journey,Skeleton Mode,As a user I can view base structure only so that I can focus on architectural patterns without detail,"- Display only structural elements
- Hide content details
- Show contexts and relationships
- Simplified visual representation
- Fast rendering for large structures",Epic 6: VizViews & Visualization Modes,P2,3,Could Have,400,1,80%,1.5,213.33,5
Visualization Journey,Advanced VizView Modes,As a user I can switch between Infrastructure Facade and other advanced modes so that I can choose visualization complexity,"- Infrastructure Mode: Dense/unfiltered view
- Facade Mode: Simplified for casual users
- Toggle filters for each mode
- Mode-specific interactions
- Consistent UX across modes",Epic 6: VizViews & Visualization Modes,P2,4,Could Have,400,1,80%,2,160.00,5
Search & Discovery Journey,Full-Text Search,As a user fuzzy search opens node in its context so that I can instantly find and navigate to information,"- Search across all node content
- Fuzzy matching with typo tolerance
- Rank by relevance
- Highlight matches in results
- Search within context or global
- GET /api/v1/search returns node + context + VizView entry point
- Search returns results within 1 second
- Full-text index stays synchronized",Epic 7: Search Teleportation & Discovery,P0,4,Must Have,1000,3,100%,2,1500.00,10
Search & Discovery Journey,Search Teleportation,As a user clicking a search result opens the node in its context so that I can see information in proper context,"- Click result = open in its context
- VizView centers on target node
- Breadcrumb trail shows navigation path
- Back/forward navigation stack
- Deep linking to specific node+context
- Teleportation opens correct VizView",Epic 7: Search Teleportation & Discovery,P0,3,Must Have,1000,3,100%,1.5,2000.00,10
Search & Discovery Journey,Advanced Search Filters,As a user I can filter search results by multiple criteria so that I can narrow down to relevant information,"- Filter by node type
- Filter by existence type
- Filter by attribute/relation type
- Date range filtering
- Creator/modifier filtering
- Boolean operators (AND, OR, NOT)
- Support pagination for large result sets",Epic 7: Search Teleportation & Discovery,P0,3,Must Have,900,2,100%,1.5,1200.00,9
Search & Discovery Journey,Search Suggestions & Auto-Complete,As a user I receive real-time search suggestions so that I can find information faster,"- Real-time search suggestions
- Recently searched queries
- Popular searches
- Related terms
- Quick filters in results
- Suggestions appear as user types",Epic 7: Search Teleportation & Discovery,P0,2,Must Have,900,2,100%,1,1800.00,8
Search & Discovery Journey,AI-Powered Search,As a user I want to get search query answers in generative form with provable results so that I can extract knowledge with confidence,"- AI-powered search results
- Provable results with human-validated inputs
- Show source nodes for AI answers
- Confidence scoring on AI results
- Natural language query support
- Citation links to source nodes",Epic 7: Search Teleportation & Discovery,P1,5,Should Have,500,2,50%,2.5,200.00,7
Versioning & History Journey,Node Versioning,As an editor when I save a node a new node_version is created so that I can track changes over time,"- node_versions row created automatically
- GET /api/v1/nodes/:id returns current_version_id
- Every save creates new version with change_summary
- View version history timeline
- Compare versions side-by-side
- Rollback to previous version
- Preview historical state in VizView",Epic 1: Node Lifecycle & Versioning,P0,3,Must Have,1000,3,100%,1.5,2000.00,10
Versioning & History Journey,Version-Based Time Machine,As a user I can preview node versions on a timeline so that I can understand information evolution,"- GET /api/v1/nodes/:id/versions lists versions
- GET /api/v1/vizviews/:id/render?version shows snapshot
- Timeline visualization of versions
- Compare any two versions
- Diff view showing changes
- Navigate through version history",Epic 1: Node Lifecycle & Versioning,P0,4,Must Have,900,3,100%,2,1350.00,9
Versioning & History Journey,Create Versions Based on Custom Attributes,As a stakeholder I want to add attributes based on versions of nodes so that I can make context inclusion/exclusion based on changes,"- Create versions with custom attributes
- Manage attributes across versions
- Context inclusion/exclusion by version
- Attribute versioning support
- Version metadata customization",Epic 1: Node Lifecycle & Versioning,P0,3,Must Have,700,2,80%,1.5,746.67,8
Versioning & History Journey,Phantom Versioning,As a user I can create versions with same content but alterable rich text so that I can create variations without duplication,"- Create phantom version (same content, different criteria)
- Phantom versions have own contexts and attributes
- Origin flagging system
- Change phantom version origin
- Distinguish content vs phantom versions in UI",Epic 1: Node Lifecycle & Versioning,P1,4,Should Have,500,2,80%,2,400.00,6
Versioning & History Journey,Version Merging,As a user I can merge versions with conflict resolution so that I can consolidate parallel work streams,"- Merge content-to-content versions
- Merge phantom-to-phantom versions
- Merge phantom-to-content versions
- Conflict resolution interface
- Choose which attributes/connections remain
- Preview merge before applying",Epic 1: Node Lifecycle & Versioning,P1,4,Should Have,400,2,80%,2,320.00,6
Versioning & History Journey,Mask Versioning,As a user I can create version-specific multi-audience versions so that I can tailor information for different stakeholders,"- Create mask versions for audiences
- Purpose-driven context variants
- Audience-specific content masking
- Mask version configuration
- Track mask version relationships",Epic 1: Node Lifecycle & Versioning,P1,3,Should Have,400,1,80%,1.5,213.33,6
Versioning & History Journey,Versions Ownership,As a stakeholder user I want to distinguish between input owner and who did what so that I understand information source,"- Track version creator
- Track version modifier
- Display ownership information
- Audit trail for changes
- Owner-based filtering",Epic 1: Node Lifecycle & Versioning,P0,2,Must Have,800,2,100%,1,1600.00,8
Node Lifecycle Journey,Archive Node,As a user I can archive/unarchive a node so that I can manage information lifecycle without deletion,"- PATCH /api/v1/nodes/:id/archive toggles is_archived
- Archived nodes excluded from default search but accessible
- Preserve wiring when archived
- Bulk archive operations support up to 100 nodes
- Trash/untrash with 30-day retention",Epic 1: Node Lifecycle & Versioning,P0,2,Must Have,900,2,100%,1,1800.00,8
Node Lifecycle Journey,Node Existence Types,As a professional user I can define node existence types that describe their purpose so that I can manage information lifecycle,"- Essential Existence: Core permanent nodes
- Purposed Existence: Goal-oriented nodes
- Functional Existence: Utility/process nodes
- Temporary Existence: Ephemeral scratchpads
- Existence type enforces lifecycle rules
- Lifecycle automation based on existence type",Epic 1: Node Lifecycle & Versioning,P0,3,Must Have,800,3,100%,1.5,1600.00,9
Template & Docking Journey,Create Templates,As a professional user I can mark nodes as templates so that I can share reusable structures,"- Mark nodes as prefabs/templates
- Include nodes, wires, attributes, contexts
- Define template variables/placeholders
- Template versioning
- Template categories/tags
- Template payload stored as JSONB",Epic 8: Templates & Docking,P1,4,Should Have,600,2,80%,2,480.00,7
Template & Docking Journey,Template Docking Modes,As a user I can dock templates in semi mode and see dry-run changes so that I can preview before applying,"- Semi Mode: Dry-run with preview
- Full Mode: Apply immediately
- Preview shows what will be created
- Estimate impact (N new nodes, M wires)
- POST /api/v1/templates/:id/dock?mode=semi returns changes_preview
- Dry-run shows accurate preview
- Confirm or cancel before applying",Epic 8: Templates & Docking,P1,4,Should Have,500,2,80%,2,400.00,6
Template & Docking Journey,Apply Templates,As a user I can apply templates with one click so that I can rapidly set up proven structures,"- Select target context
- Fill in template variables
- Apply with one click
- Preserve template structure
- Create backlinks to template
- Variables replaced correctly
- Applied templates maintain structure",Epic 8: Templates & Docking,P1,3,Should Have,700,2,80%,1.5,746.67,7
Template & Docking Journey,Template Library,As a user I can browse and search available templates so that I can discover useful patterns,"- Browse available templates
- Search templates by category
- Preview template structure
- Import/export templates
- Share templates with team
- Template library searchable
- Template ratings and usage stats",Epic 8: Templates & Docking,P1,3,Should Have,650,2,80%,1.5,693.33,7
Template & Docking Journey,Create New Context Template,As a user I can build new context templates from essential types so that I can share my best practices,"- Select existing essential types
- Organize, build, arrange types
- Connect types into template structure
- Define template metadata
- Publish template to library",Epic 8: Templates & Docking,P1,3,Should Have,500,1,80%,1.5,266.67,6
Activity & Audit Journey,Capture All Mutations,As a system all create/update ops are logged so that we maintain complete audit trail,"- Log node create/update/delete
- Log attribute create/update/delete
- Log wire create/delete
- Log context operations
- Log template docking
- Every mutation creates log entry
- Logs include user, timestamp, payload",Epic 9: Activity Logs & Audit Trail,P1,2,Should Have,800,2,100%,1,1600.00,7
Activity & Audit Journey,Activity Log Queries,As a user I can query my activity history so that I can review my work,"- View my activity history
- View activity by user
- View activity by object (node, attribute)
- Filter by operation type
- Date range filtering
- Query logs with <500ms response",Epic 9: Activity Logs & Audit Trail,P1,3,Should Have,700,1,100%,1.5,466.67,6
Activity & Audit Journey,Activity Visualization,As a user I can visualize activity over time so that I can understand work patterns,"- Timeline view of changes
- Heatmap of activity periods
- Most active users/nodes
- Change velocity metrics
- Activity dashboards",Epic 9: Activity Logs & Audit Trail,P1,3,Should Have,500,1,80%,1.5,266.67,6
Activity & Audit Journey,Audit & Compliance,As an admin I can export audit logs for compliance so that we meet regulatory requirements,"- Export audit logs to CSV/JSON
- Immutable log storage
- Retention policies
- Admin-level access control
- Logs retained per retention policy
- Tamper-proof logging",Epic 9: Activity Logs & Audit Trail,P1,3,Should Have,400,2,100%,1.5,533.33,7
Permissions & Security Journey,User Roles,As an admin guests cannot enter Edit/Configure modes so that we maintain data security,"- Guest: Read-only access
- Member: Create/edit own nodes
- Editor: Edit any node
- Admin: Full system access
- Custom roles: Fine-grained permissions
- Mode-switch API returns 403 for unauthorized
- UI hides restricted buttons",Epic 10: Permissions & Access Control,P0,2,Must Have,1000,3,100%,1,3000.00,10
Permissions & Security Journey,Mode-Based Access,As a system I enforce mode-based permissions so that users access appropriate functionality,"- Utilization Mode: Available to all
- Setup Mode: Editors and above
- Configure Mode: Admins only
- Temporary Visible Mode: Permission-aware
- Mode switching enforced at API level",Epic 10: Permissions & Access Control,P0,2,Must Have,1000,3,100%,1,3000.00,10
Permissions & Security Journey,Object-Level Permissions,As a professional user I can set permissions on nodes and contexts so that I control information access,"- Node-level: Owner, editors, viewers
- Context-level: Inherited permissions
- VizView-level: Shared vs private
- Attribute-level: Who can apply
- Permission changes take effect immediately
- Permissions enforced at API level",Epic 10: Permissions & Access Control,P0,3,Must Have,900,3,100%,1.5,1800.00,9
Permissions & Security Journey,Permission Management UI,As an admin I can create/edit roles and permissions so that I can manage team access,"- View current permissions
- Grant/revoke access
- Inheritance visualization
- Audit access changes
- Admin endpoints exist
- Support up to 1000 permission rules per object
- Audit trail of permission changes",Epic 10: Permissions & Access Control,P0,3,Must Have,800,2,100%,1.5,1066.67,9
Permissions & Security Journey,Create Sharing Context,As a user I want to have a space that I can access with my team so that we can collaborate,"- Create sharing context layers
- Define hierarchical sharing layers
- Add people to sharing context layer
- Team space creation
- Shared vs private contexts",Epic 10: Permissions & Access Control,P0,3,Must Have,700,3,100%,1.5,1400.00,9
Permissions & Security Journey,Preserve or Publish Nodes,As a user I want to share or revoke sharing of nodes so that I maintain control over confidential information,"- Share nodes from default (confidential) layer
- Revoke sharing (preserve in private layer)
- Control who can see what nodes
- Context-level sharing controls
- Node-level sharing overrides",Epic 10: Permissions & Access Control,P0,3,Must Have,700,3,100%,1.5,1400.00,9
Permissions & Security Journey,Share Externally,As a user I want to share a specific context externally through hyperlink so that external collaborators can view information,"- Generate shareable hyperlink
- Context viewable in browser
- No login required for view-only
- Revokable external links
- External share tracking",Epic 10: Permissions & Access Control,P1,3,Should Have,500,2,80%,1.5,533.33,7
Permissions & Security Journey,Privilege Configuration,As an admin I can configure granular privileges so that I implement organizational policies,"- Who can see what
- Who can edit what
- Who can allow/prevent actions
- Who can assign tasks
- Create privileges and actions
- Create privilege grouping
- Context-based privileges",Epic 10: Permissions & Access Control,P0,5,Must Have,700,3,80%,2.5,672.00,9
AI Enhancement Journey,Attribute Suggestions,As a user AI suggests relevant attributes so that I can quickly enrich information,"- AI suggests relevant attributes
- Based on node content and context
- Confidence scoring
- Learn from user feedback
- Batch suggestion generation
- Suggestions return within 2 seconds
- Accuracy improves with user feedback",Epic 11: AI-Enhanced Features,P1,3,Should Have,400,1,80%,1.5,213.33,6
AI Enhancement Journey,Context Matching,As a user ML suggests best-fit contexts so that information is automatically organized,"- ML suggests best-fit contexts
- Analyze wiring patterns
- Cluster similar nodes
- Suggest context merges
- Improve over time with usage
- ML context matching accuracy >70%",Epic 11: AI-Enhanced Features,P1,4,Should Have,400,2,80%,2,320.00,6
AI Enhancement Journey,Smart Auto-Fill,As a user AI can auto-fill visual templates so that I can rapidly create structured content,"- Auto-fill visual templates (mindmaps)
- Structured document generation
- Code/diagram generation
- Content summarization
- Relationship inference
- Accuracy >80%",Epic 11: AI-Enhanced Features,P2,5,Could Have,300,1,50%,2.5,60.00,5
AI Enhancement Journey,Natural Language Operations,As a user I can create nodes via natural language so that I can work more naturally,"- Create nodes via natural language
- Query knowledge base conversationally
- Generate VizViews from descriptions
- Bulk operations via commands
- Privacy-preserving (opt-in for ML)
- Support both cloud and local AI models",Epic 11: AI-Enhanced Features,P2,5,Could Have,300,1,50%,2.5,60.00,4
AI Enhancement Journey,AI-Based Async Session Creation,As a user I want to create async communication sessions through AI so that I save time and effort,"- AI generates question sequences
- Conditional branching based on data
- Node matching for context
- AI-powered session templates
- Session creation completes <30 seconds",Epic 11: AI-Enhanced Features,P1,4,Should Have,400,2,50%,2,200.00,6
Import Export & Integration Journey,Import from Multiple Sources,As a user I can import data from multiple sources so that I can migrate existing information,"- Markdown files (Obsidian, Notion)
- CSV/Excel data
- Mind maps (XMind, FreeMind)
- Graph data (GraphML, JSON)
- Bulk folder import
- Handle imports of 10k+ files
- Import preserves structure and metadata
- Import completes <10 seconds per 1000 files",Epic 12: Import Export & Integration,P2,5,Could Have,600,2,80%,2.5,384.00,6
Import Export & Integration Journey,Export to Multiple Formats,As a user I can export to multiple formats so that I can use information in other tools,"- Markdown with frontmatter
- PDF with graph visualizations
- JSON (full structure)
- GraphML for external tools
- HTML static site
- Export includes all relationships
- Export completes <5 seconds per 1000 nodes",Epic 12: Import Export & Integration,P2,4,Could Have,500,1,80%,2,200.00,5
Import Export & Integration Journey,Import Mapping,As a user I can map imported data to contexts and nodes so that imports are structured correctly,"- Map file structure to contexts
- Detect backlinks and create wires
- Preserve metadata
- Duplication handling during import
- Progress indicator for large imports
- Preview mapping before import",Epic 12: Import Export & Integration,P2,4,Could Have,400,2,80%,2,320.00,5
Import Export & Integration Journey,API & Webhooks,As a developer I can integrate via REST API and webhooks so that I can build custom integrations,"- REST API for all operations
- GraphQL for flexible queries
- Webhooks for external integrations
- OAuth2 authentication
- Rate limiting and quotas
- API follows OpenAPI 3.0 spec
- Webhooks deliver within 5 seconds",Epic 12: Import Export & Integration,P2,5,Could Have,500,2,80%,2.5,320.00,6
Import Export & Integration Journey,n8n Automation Integration,As a user I can create automated workflows within contexts so that I can automate repetitive tasks,"- Record copy of n8n workflow nodes
- Version sync with SQLite
- Automate Node button for n8n creation
- Filter automated nodes by context
- Workflow variations by context attributes
- AI support for workflow creation",Epic 12: Import Export & Integration,P1,5,Should Have,400,2,80%,2.5,256.00,6
Async Communication Journey,Manual Async Session Creation,As a user I want to create a sequence of questions manually so that I can gather structured input,"- Create question sequence manually
- Conditional branching based on data
- Define SLA & OLA for interactions
- External events, time events, internal conditions
- Manual interference for step completion
- Session creation <5 minutes for simple sequences",Epic 13: Async Communication,P0,5,Must Have,600,2,80%,2.5,384.00,8
Async Communication Journey,Async Communication Context Awareness,As a stakeholder user I want to be provided with context before adding input so that I understand what I'm doing,"- Context provided before input
- Background information displayed
- Related nodes/contexts shown
- Previous interaction history
- Help text and guidance
- Context loads immediately",Epic 13: Async Communication,P0,3,Must Have,600,2,100%,1.5,800.00,8
Async Communication Journey,Async Session Automation,As a stakeholder user I want to manually run async communication sessions so that I can save time and mental energy,"- Manual session triggering
- Automated session execution
- Session progress tracking
- Notification on session events
- Session state management",Epic 13: Async Communication,P1,3,Should Have,500,2,80%,1.5,533.33,7
Async Communication Journey,Async Session Recording,As a session participator I need to record sessions and preview recordings so that we maintain efficiency,"- Record audio/video sessions
- Timeline-based navigation
- Audio chopping capability
- 10-minute reviews of 1-hour sessions
- AI-powered summarization
- Session recordings compressed efficiently",Epic 13: Async Communication,P1,4,Should Have,400,1,80%,2,160.00,6
